camera_id,camera_name,latitude,longitude,timestamp,vehicle_count,density_pct,avg_speed_kmph,congestion_level
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 08:00:00,78,74.6,19.7,High
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 09:00:00,68,77.7,15.4,High
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 10:00:00,50,44.9,27.1,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 11:00:00,29,37.3,34.2,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 12:00:00,34,31.5,30.8,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 13:00:00,44,53.1,20.6,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 14:00:00,63,57.1,25.0,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 15:00:00,50,42.3,25.2,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 16:00:00,62,59.9,28.6,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 17:00:00,64,55.5,20.5,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 18:00:00,95,82.7,19.7,High
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 19:00:00,93,86.3,11.0,High
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 20:00:00,37,33.7,21.2,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 21:00:00,38,41.4,32.2,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 22:00:00,18,17.4,36.4,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-08-31 23:00:00,8,9.4,36.9,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 00:00:00,6,6.6,54.6,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 01:00:00,17,17.0,52.5,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 02:00:00,7,7.3,53.1,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 03:00:00,20,17.5,35.5,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 04:00:00,12,14.9,39.2,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 05:00:00,22,19.1,44.4,Low
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 06:00:00,56,53.4,24.5,Medium
CAM01,Jagadamba Junction,17.7211,83.3037,2026-09-01 07:00:00,52,51.2,32.4,Medium
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 08:00:00,79,84.2,8.0,High
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 09:00:00,84,81.1,8.3,High
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 10:00:00,47,43.4,20.5,Medium
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 11:00:00,40,34.9,22.0,Low
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 12:00:00,36,32.7,26.5,Low
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 13:00:00,59,52.1,29.1,Medium
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 14:00:00,39,39.0,30.6,Low
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 15:00:00,46,54.3,31.8,Medium
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 16:00:00,47,46.0,21.9,Medium
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 17:00:00,34,34.1,24.4,Low
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 18:00:00,68,80.4,14.0,High
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 19:00:00,65,75.9,12.1,High
CAM02,Dwaraka Nagar Signal,17.7326,83.3078,2026-08-31 20:00:00,27,30.4,34.5,Low
